Département,Année,Taux de chômage
Ain,2016,7.35
Ain,2017,6.75
Ain,2018,6.3
Ain,2019,6.05
Ain,2020,6.07
Ain,2021,5.95
Ain,2022,5.45
Ain,2023,5.47
Aisne,2016,13.62
Aisne,2017,13.0
Aisne,2018,12.4
Aisne,2019,11.68
Aisne,2020,10.95
Aisne,2021,10.95
Aisne,2022,10.38
Aisne,2023,10.4
Allier,2016,10.38
Allier,2017,9.68
Allier,2018,9.35
Allier,2019,8.9
Allier,2020,8.48
Allier,2021,8.15
Allier,2022,7.62
Allier,2023,7.7
Alpes-Maritimes,2016,10.32
Alpes-Maritimes,2017,9.82
Alpes-Maritimes,2018,9.35
Alpes-Maritimes,2019,8.72
Alpes-Maritimes,2020,8.78
Alpes-Maritimes,2021,8.57
Alpes-Maritimes,2022,7.38
Alpes-Maritimes,2023,7.03
Alpes-de-Haute-Provence,2016,11.05
Alpes-de-Haute-Provence,2017,10.7
Alpes-de-Haute-Provence,2018,10.42
Alpes-de-Haute-Provence,2019,9.75
Alpes-de-Haute-Provence,2020,9.1
Alpes-de-Haute-Provence,2021,8.82
Alpes-de-Haute-Provence,2022,8.22
Alpes-de-Haute-Provence,2023,8.1
Ardennes,2016,11.98
Ardennes,2017,11.05
Ardennes,2018,10.42
Ardennes,2019,10.02
Ardennes,2020,9.58
Ardennes,2021,9.48
Ardennes,2022,9.38
Ardennes,2023,9.6
Ardèche,2016,10.62
Ardèche,2017,10.07
Ardèche,2018,9.8
Ardèche,2019,9.12
Ardèche,2020,8.7
Ardèche,2021,8.65
Ardèche,2022,8.05
Ardèche,2023,7.9
Ariège,2016,11.98
Ariège,2017,11.48
Ariège,2018,11.18
Ariège,2019,10.65
Ariège,2020,9.77
Ariège,2021,9.68
Ariège,2022,9.4
Ariège,2023,9.37
Aube,2016,12.62
Aube,2017,11.92
Aube,2018,11.35
Aube,2019,10.7
Aube,2020,9.98
Aube,2021,9.95
Aube,2022,9.5
Aube,2023,9.53
Aude,2016,13.55
Aude,2017,12.65
Aude,2018,12.3
Aude,2019,11.52
Aude,2020,10.68
